,N,r,acc,nmi,ari,chs,dbs,ss,num_clusters
0,5,0.1,0.82982,0.8534,0.76198,1383.25212,1.19795,0.29462,10
1,5,0.2,0.70263,0.80787,0.55536,1149.15395,1.27848,0.25315,15
2,5,0.30000000000000004,0.62198,0.77384,0.45601,1111.42942,1.24977,0.26777,17
3,5,0.4,0.56111,0.75616,0.42782,1152.59395,1.21404,0.27467,18
4,5,0.5,0.52297,0.74097,0.37632,1186.79233,1.23702,0.26754,20
5,5,0.6000000000000001,0.52973,0.74243,0.37839,1186.68999,1.21962,0.2657,20
6,5,0.7000000000000001,0.43652,0.71315,0.31945,1026.32296,1.29096,0.25065,23
7,5,0.8,0.41911,0.70826,0.2959,1045.75548,1.3417,0.23781,26
8,5,0.9,0.4235,0.71122,0.29797,1007.05068,1.32143,0.23716,27
9,5,1.0,0.40514,0.69293,0.28717,1019.44285,1.34031,0.25349,27
10,7,0.1,0.82331,0.85905,0.75062,1399.16953,1.19866,0.29381,10
11,7,0.2,0.83385,0.84592,0.74616,1190.92088,1.2486,0.24908,14
12,7,0.30000000000000004,0.59936,0.77121,0.43991,1116.32501,1.24233,0.26682,17
13,7,0.4,0.6067,0.76439,0.4501,1170.42949,1.20608,0.27799,18
14,7,0.5,0.55732,0.7595,0.42332,1277.12511,1.20435,0.28897,19
15,7,0.6000000000000001,0.53162,0.75234,0.37879,1228.73641,1.24769,0.26664,21
16,7,0.7000000000000001,0.5199,0.74272,0.37106,1220.82137,1.24691,0.25922,21
17,7,0.8,0.46767,0.72436,0.3291,1146.06428,1.25061,0.26897,23
18,7,0.9,0.44706,0.72331,0.32704,1127.70774,1.28971,0.2551,24
19,7,1.0,0.43368,0.71808,0.31789,1098.94435,1.26216,0.25915,25
20,9,0.1,0.82366,0.85154,0.75919,1417.19586,1.2104,0.30091,10
21,9,0.2,0.83811,0.86377,0.76268,1286.25796,1.17739,0.31411,13
22,9,0.30000000000000004,0.66556,0.78867,0.49263,1092.39545,1.24153,0.26821,16
23,9,0.4,0.5752,0.76507,0.43984,1170.16803,1.20653,0.27778,18
24,9,0.5,0.58953,0.77604,0.44433,1167.8576,1.21117,0.27704,18
25,9,0.6000000000000001,0.554,0.75458,0.40866,1117.95638,1.23502,0.27237,19
26,9,0.7000000000000001,0.55424,0.74342,0.38073,1159.48768,1.20595,0.26707,21
27,9,0.8,0.50817,0.74225,0.3643,1164.70122,1.22988,0.2751,22
28,9,0.9,0.4274,0.71157,0.29902,1091.831,1.30745,0.25028,24
29,9,1.0,0.43854,0.72406,0.32507,1146.6789,1.26329,0.26746,23
30,11,0.1,0.76717,0.82253,0.70172,1508.49351,1.15145,0.34608,9
31,11,0.2,0.83847,0.85568,0.75288,1198.6662,1.25033,0.24879,14
32,11,0.30000000000000004,0.74218,0.81637,0.58636,1145.81026,1.27918,0.24378,15
33,11,0.4,0.61097,0.77414,0.44959,1116.26001,1.2352,0.26851,17
34,11,0.5,0.57793,0.76529,0.43757,1182.26474,1.19707,0.28183,18
35,11,0.6000000000000001,0.56407,0.7558,0.41193,1106.82524,1.24453,0.26774,19
36,11,0.7000000000000001,0.56549,0.7562,0.41709,1111.46904,1.22577,0.27057,19
37,11,0.8,0.51859,0.75275,0.37904,1221.09907,1.25956,0.26775,21
38,11,0.9,0.44777,0.72155,0.3229,1134.09967,1.33151,0.24886,23
39,11,1.0,0.42883,0.72032,0.32097,1135.44771,1.30088,0.26005,24
40,13,0.1,0.76753,0.82363,0.70208,1510.10678,1.13285,0.34727,9
41,13,0.2,0.86393,0.87825,0.77604,1312.34862,1.09541,0.32064,12
42,13,0.30000000000000004,0.72371,0.81371,0.56967,1150.44649,1.28271,0.24786,15
43,13,0.4,0.61393,0.77274,0.44749,1118.1125,1.24603,0.26525,17
44,13,0.5,0.63157,0.77393,0.45495,1112.18378,1.23133,0.26566,17
45,13,0.6000000000000001,0.58148,0.76588,0.43925,1169.08683,1.1972,0.27469,18
46,13,0.7000000000000001,0.5726,0.75697,0.41813,1128.3726,1.22265,0.27825,19
47,13,0.8,0.5437,0.74337,0.37007,1083.33454,1.24506,0.25687,21
48,13,0.9,0.43581,0.72128,0.31161,1136.87645,1.36588,0.25143,23
49,13,1.0,0.4531,0.72494,0.32952,1148.26447,1.29637,0.26706,23
50,15,0.1,0.78884,0.84422,0.73407,1493.94854,1.04057,0.34664,9
51,15,0.2,0.88477,0.88467,0.8103,1301.76574,1.07943,0.31929,12
52,15,0.30000000000000004,0.72738,0.81352,0.57222,1145.2165,1.28705,0.24962,15
53,15,0.4,0.61949,0.77453,0.45145,1112.42064,1.22964,0.26635,17
54,15,0.5,0.58847,0.7694,0.44976,1177.16942,1.15897,0.27512,18
55,15,0.6000000000000001,0.58906,0.76649,0.44233,1180.73377,1.18762,0.27992,18
56,15,0.7000000000000001,0.53967,0.74832,0.3861,1119.49004,1.24069,0.26113,19
57,15,0.8,0.49207,0.72449,0.34762,930.50904,1.38449,0.2451,20
58,15,0.9,0.56004,0.75658,0.41287,1120.42167,1.24062,0.27223,19
59,15,1.0,0.47347,0.72517,0.33181,1145.88183,1.27478,0.26182,23
60,17,0.1,0.76634,0.82251,0.70091,1508.42384,1.143,0.3472,9
61,17,0.2,0.86251,0.8658,0.77061,1310.28453,1.16042,0.30855,11
62,17,0.30000000000000004,0.7108,0.82241,0.58341,1221.42911,1.27179,0.26645,14
63,17,0.4,0.65976,0.78869,0.49012,1102.6018,1.23986,0.2726,16
64,17,0.5,0.59794,0.77079,0.44034,1116.62268,1.24146,0.26604,17
65,17,0.6000000000000001,0.56466,0.76337,0.43126,1187.1065,1.20172,0.28188,18
66,17,0.7000000000000001,0.572,0.76449,0.43348,1178.34265,1.19382,0.27721,18
67,17,0.8,0.50936,0.73835,0.36685,1120.69221,1.23954,0.26571,20
68,17,0.9,0.43534,0.72347,0.32508,1042.40976,1.2815,0.25685,22
69,17,1.0,0.43439,0.71345,0.30197,996.76864,1.30743,0.24456,23
70,19,0.1,0.76622,0.83635,0.69769,1500.54743,1.05549,0.34798,9
71,19,0.2,0.8432,0.86408,0.78368,1391.01437,1.17685,0.29374,10
72,19,0.30000000000000004,0.83847,0.86702,0.76417,1294.96622,1.18609,0.31539,13
73,19,0.4,0.64721,0.78871,0.48825,1098.81877,1.24936,0.27035,16
74,19,0.5,0.62447,0.77309,0.45496,1123.39867,1.23781,0.27227,17
75,19,0.6000000000000001,0.61405,0.77367,0.45011,1122.91588,1.24312,0.27004,17
76,19,0.7000000000000001,0.57473,0.75649,0.39783,1066.4078,1.28178,0.25316,18
77,19,0.8,0.55471,0.74864,0.39,1127.83533,1.22758,0.26513,19
78,19,0.9,0.50024,0.73141,0.35478,1071.40938,1.22507,0.26485,21
79,19,1.0,0.473,0.72521,0.33638,1041.40364,1.27588,0.25358,22
80,21,0.1,0.76658,0.8242,0.70107,1510.34523,1.14324,0.34743,9
81,21,0.2,0.82283,0.85961,0.74996,1400.96097,1.19937,0.29399,10
82,21,0.30000000000000004,0.70227,0.81607,0.56857,1148.18828,1.23874,0.24918,15
83,21,0.4,0.64993,0.78869,0.48959,1101.98974,1.23985,0.26903,16
84,21,0.5,0.61191,0.77284,0.44773,1125.16581,1.23817,0.27237,17
85,21,0.6000000000000001,0.61523,0.77259,0.44951,1125.62931,1.23028,0.2727,17
86,21,0.7000000000000001,0.57461,0.76567,0.4366,1191.12436,1.19829,0.28405,18
87,21,0.8,0.53458,0.74851,0.38551,1137.44521,1.23228,0.27145,19
88,21,0.9,0.48875,0.73786,0.35712,1093.96969,1.28444,0.25851,20
89,21,1.0,0.45405,0.72265,0.33029,1046.49935,1.26069,0.26351,22
90,23,0.1,0.76682,0.82399,0.70148,1510.34438,1.14063,0.34625,9
